Date,Day,Person,Core,Treatment,Weight_No_Top_Cap_g,time_capped,time_elapsed_hours,time_elapsed_minutes,time_sampled,EGM_Sample,CO2_ppm,Notes,ambient_air_ppm,
2/2/2021,Tuesday,Jillian,1A,1,218.86,12:49,1:02:00,62,13:51,1,1125,,506,
2/2/2021,Tuesday,Jillian,2A,1,273.53,12:54,1:02:00,62,13:56,2,787,c=5 b=6,,
2/2/2021,Tuesday,Jillian,4A,1,202.9,12:59,1:02:00,62,14:01,3,1453,c=7 b=6,,
2/2/2021,Tuesday,Jillian,5A,1,257.03,13:06,1:00:00,60,14:06,4,1591,c=9 b=7,,
2/2/2021,Tuesday,Jillian,8B,1,267.65,13:12,1:00:00,60,14:12,5,638,messed up the valves,,
2/2/2021,Tuesday,Jillian,8B,1,267.65,13:12,1:05:00,65,14:17,6,499,post inputting scrubbed air from sample 5,,
2/2/2021,Tuesday,Jillian,9A,1,247.85,13:18,1:01:00,61,14:19,7,2147,c=9 b=6,,
2/2/2021,Tuesday,Jillian,10A,1,250.82,13:23,1:01:00,61,14:24,8,1934,c=9 b=7,,
2/2/2021,Tuesday,Jillian,11A,1,204.25,13:30,1:00:00,60,14:30,9,2223,c=8 b=6,,
2/2/2021,Tuesday,Jillian,12A,1,289.13,13:37,1:00:00,60,14:37,10,1956,c=8 b=6,,
2/2/2021,Tuesday,Jillian,15A,1,233.97,13:48,0:56:00,56,14:44,11,1380,c=8 b=6,,
2/2/2021,Tuesday,Jillian,16A,1,223.05,13:48,1:01:00,61,14:49,12,2789,c=8 b=6,,
2/2/2021,Tuesday,Jillian,13A,1,407.73,16:10,1:03:00,63,17:13,13,3001,c=7 b=8,,
2/2/2021,Tuesday,Jillian,1B,2,299.3,16:16,1:01:00,61,17:17,14,1655,c=9 b=7,,
2/2/2021,Tuesday,Jillian,2B,2,268.33,16:20,1:01:00,61,17:21,15,1086,c=9 b=7,,
2/2/2021,Tuesday,Jillian,5B,2,311.97,16:22,1:05:00,65,17:27,16,689,"c=7 b=7, water logged",,
2/2/2021,Tuesday,Jillian,8C,2,346.92,16:25,1:05:00,65,17:30,17,695,water logged c=7 b=7,,
2/2/2021,Tuesday,Jillian,9B,2,260.71,16:28,1:04:00,64,17:32,18,2564,c=7 b=7,,
2/2/2021,Tuesday,Jillian,11B,2,222.62,16:30,1:07:00,67,17:37,19,1794,c=10 b=7,,
2/2/2021,Tuesday,Jillian,10B,2,251.14,16:33,1:08:00,68,17:41,20,1562,c=9 b=7,,
2/2/2021,Tuesday,Jillian,12B,2,305.91,16:37,1:08:00,68,17:45,21,1842,c=10 b=7,,
2/2/2021,Tuesday,Jillian,13B,2,438.92,16:41,1:07:00,67,17:48,22,1801,c=9 b=7,,
2/2/2021,Tuesday,Jillian,14B,2,252.96,16:48,1:04:00,64,17:52,23,2198,"c=10 b=7, very wet",,
