Date,Day,Person,Core,Layer,Treatment,Weight_No_Top_Cap_g,time_capped,time_elapsed_hours,time_elapsed_minutes,time_sampled,EGM_Sample,CO2_ppm,Notes,ambient_air_ppm
3/11/21,Thursday,Jillian,1C,plant,1,42.75,12:46,1:28:00,88,14:14,1,2189,5mL headspace for this experiment. 8&7,EGM in 5C for 5 mins: 530 ppm. Room = 481
3/11/21,Thursday,Jillian,1C,organic,1,46.1,12:47,1:30:00,90,14:17,2,555,8&7,
3/11/21,Thursday,Jillian,1C,mineral,1,44.28,12:48,1:31:00,91,14:19,3,498,9&8,
3/11/21,Thursday,Jillian,4B,plant,1,42.96,12:50,1:32:00,92,14:22,4,1129,8&7,
3/11/21,Thursday,Jillian,4B,organic top,1,47.3,12:52,1:32:00,92,14:24,5,1183,8&7,
3/11/21,Thursday,Jillian,4B,organic bottom,1,40.56,12:53,1:34:00,94,14:27,6,828,9&7,
3/11/21,Thursday,Jillian,6B,plant,1,43.44,12:56,1:32:00,92,14:28,7,1790,8&7,
3/11/21,Thursday,Jillian,6B,organic,1,44.62,12:57,1:34:00,94,14:31,8,1520,9&7,
3/11/21,Thursday,Jillian,6B,mineral,1,48.24,12:59,1:34:00,94,14:33,9,653,7&6,
3/11/21,Thursday,Jillian,10,plant,1,42.85,13:00,1:35:00,95,14:35,10,1390,8&7,
3/11/21,Thursday,Jillian,10,organic,1,44.88,13:01,1:38:00,98,14:39,11,879,8&7,
3/11/21,Thursday,Jillian,13,plant,1,42.92,13:03,1:57:00,117,15:00,12,1585,8&6,
3/11/21,Thursday,Jillian,13,organic,1,45.58,13:04,1:58:00,118,15:02,13,867,8&7,
3/11/21,Thursday,Jillian,13,mineral,1,46.69,13:05,2:00:00,120,15:05,14,685,7&7,
3/11/21,Thursday,Jillian,15,plant,1,43.38,13:06,2:03:00,123,15:09,15,1767,9&7,
3/11/21,Thursday,Jillian,15,organic,1,45.57,13:07,2:04:00,124,15:11,16,2010,9&7,
3/11/21,Thursday,Jillian,1C,mineral extra test,1,,,,,15:15,17,1087,uncapped for a week. 8&7,
3/11/21,Thursday,Jillian,1C,plant,1,42.75,12:46,2:30:00,150,15:16,18,3005,repeated to see change after another hour,
3/11/21,Thursday,Emily,3A,plant,2,42.52,13:11,2:24:00,144,15:35,1,2418,9 & 7,
3/11/21,Thursday,Emily,3A ,organic,2,45.84,13:12,2:28:00,148,15:40,2,1006,8 & 7,
3/11/21,Thursday,Emily,3A,mineral,2,44.07,13:14,2:29:00,149,15:43,3,781,8 & 8,
3/11/21,Thursday,Emily,7B,plant,2,43.51,13:16,2:32:00,152,15:48,4,2509,9 & 8,
3/11/21,Thursday,Emily,7B,organic top,2,46.05,13:17,2:34:00,154,15:51,5,3067,9 & 7,
3/11/21,Thursday,Emily,7B,organic bottom ,2,46.65,13:18,2:36:00,156,15:54,6,3339,10 & 8,
3/11/21,Thursday,Emily,8A,plant,2,43.89,13:20,2:38:00,158,15:58,7,1886,8 & 7,
3/11/21,Thursday,Emily,8A,organic,2,45.59,13:22,2:38:00,158,16:00,8,955,8 & 8,
3/11/21,Thursday,Emily,8A,mineral,2,45.48,13:40,2:23:00,143,16:03,9,536,8 & 8,
3/11/21,Thursday,Emily,9,plant,2,41.68,13:42,2:24:00,144,16:06,10,1878,8 & 7,
3/11/21,Thursday,Emily,9,organic,2,45.6,13:44,2:25:00,145,16:09,11,3435,10 & 7 ,
3/11/21,Thursday,Emily,9,mineral,2,48.6,13:45,2:27:00,147,16:12,12,1087,8 & 7,
3/11/21,Thursday,Emily,14A,plant,2,43.94,13:47,2:27:00,147,16:14,13,2153,9 & 7,
3/11/21,Thursday,Emily,14A,organic,2,41.25,13:49,2:28:00,148,16:17,14,1327,8 & 7,
3/11/21,Thursday,Emily,16,plant,2,42.8,13:50,2:30:00,150,16:20,15,2508,9 & 7,
3/11/21,Thursday,Emily,16,organic,2,46,13:53,2:30:00,150,16:23,16,1897,8 & 7,
3/11/21,Thursday,Emily,16,mineral,2,44.8,13:54,2:31:00,151,16:25,17,1022,8 & 8,
,,,,,,,,,,,,,,
3/13/2021,Saturday,Jillian,1C,plant,1,,12:45,1:00:00,60,13:45,1,675,22.2 C in lab. 8&8,444
3/13/2021,Saturday,Jillian,1C,organic,1,,12:45,1:02:00,62,13:47,2,435,8&8,EGM in 10C for 5 mins: 517
3/13/2021,Saturday,Jillian,1C,mineral,1,,12:46,1:03:00,63,13:49,3,373,8&8,
3/13/2021,Saturday,Jillian,4B,plant,1,,12:46,1:05:00,65,13:51,4,584,8&7,
3/13/2021,Saturday,Jillian,4B,organic top,1,,12:46,1:07:00,67,13:53,5,603,8&8,
3/13/2021,Saturday,Jillian,4B,organic bottom,1,,12:46,1:09:00,69,13:55,6,454,9&8,accidentally uncapped right before
3/13/2021,Saturday,Jillian,6B,plant,1,,12:48,1:09:00,69,13:57,7,658,7&7,
3/13/2021,Saturday,Jillian,6B,organic,1,,12:48,1:11:00,71,13:59,8,538,8&8,
3/13/2021,Saturday,Jillian,6B,mineral,1,,12:48,1:13:00,73,14:01,9,461,8&7,
3/13/2021,Saturday,Jillian,10,plant,1,,12:48,1:15:00,75,14:03,10,722,8&7,
3/13/2021,Saturday,Jillian,10,organic,1,,12:48,1:17:00,77,14:05,11,463,8&7,
3/13/2021,Saturday,Jillian,13,plant,1,,12:49,1:18:00,78,14:07,12,782,8&8,
3/13/2021,Saturday,Jillian,13,organic,1,,12:49,1:20:00,80,14:09,13,514,9&8,
3/13/2021,Saturday,Jillian,13,mineral,1,,12:49,1:22:00,82,14:11,14,410,9&8,
