core,type,height_tubetosoil_headspace_cm,incubator,treatment,headspace_volume_cm3,mol_air,mmol_air
1A,mineral,23.48,5,1,266.155192,0.01099040179,10.99040179
2A,peat,16.48,5,1,186.807392,0.007713876552,7.713876552
4A,peat,9.98,5,1,113.127292,0.004671388834,4.671388834
5A,mineral,19.48,5,1,220.813592,0.009118101652,9.118101652
8B,mineral,19.48,5,1,220.813592,0.009118101652,9.118101652
9A,peat,6.48,5,1,73.453392,0.003033126217,3.033126217
10A,peat,6.98,5,1,79.121092,0.003267163734,3.267163734
11A,mineral,15.98,5,1,181.139692,0.007479839035,7.479839035
12A,peat,6.48,5,1,73.453392,0.003033126217,3.033126217
13A,mineral,6.98,5,1,79.121092,0.003267163734,3.267163734
15A,peat,8.48,5,1,96.124192,0.003969276284,3.969276284
16A,mineral,16.48,5,1,186.807392,0.007713876552,7.713876552
1B,mineral,9.98,10,2,113.127292,0.004671388834,4.671388834
2B,peat,10.48,10,2,118.794992,0.004905426351,4.905426351
5B,mineral,17.48,10,2,198.142792,0.008181951585,8.181951585
8C,mineral,14.98,10,2,169.804292,0.007011764001,7.011764001
9B,peat,4.98,10,2,56.450292,0.002331013667,2.331013667
10B,peat,6.98,10,2,79.121092,0.003267163734,3.267163734
11B,mineral,19.48,10,2,220.813592,0.009118101652,9.118101652
12B,peat,2.98,10,2,33.779492,0.0013948636,1.3948636
13B,mineral,5.48,10,2,62.117992,0.002565051183,2.565051183
14B,peat,10.48,10,2,118.794992,0.004905426351,4.905426351
15B,peat,7.48,10,2,84.788792,0.00350120125,3.50120125
16B,mineral,14.48,10,2,164.136592,0.006777726485,6.777726485
