vial,layer_type,treatment_layer,soil_height_cm,vial_body_height_cm,vial_body_radius_cm,vial_cap_height_cm,vial_cap_radius_cm,height_body_to_soil,headspace_volume_body_cm3,headspace_volume_cap_cm3,headspace_total_volume_cm3,partition_mol_air,partition_mmol_air
1C,plant,1,2.3,12.5,1.25,0.9,1.2,10.2,50.04375,4.06944,54.11319,0.002234507227,2.234507227
1C,organic,1,0.9,12.5,1.25,0.9,1.2,11.6,56.9125,4.06944,60.98194,0.002518139952,2.518139952
1C,mineral,1,0.6,12.5,1.25,0.9,1.2,11.9,58.384375,4.06944,62.453815,0.002578918393,2.578918393
4B,plant,1,5.5,12.5,1.25,0.9,1.2,7,34.34375,4.06944,38.41319,0.001586203857,1.586203857
4B,organic top,1,9.2,12.5,1.25,0.9,1.2,3.3,16.190625,4.06944,20.260065,0.0008366030844,0.8366030844
4B,organic bottom,1,2,12.5,1.25,0.9,1.2,10.5,51.515625,4.06944,55.585065,0.002295285668,2.295285668
6B,plant,1,2.4,12.5,1.25,0.9,1.2,10.1,49.553125,4.06944,53.622565,0.002214247747,2.214247747
6B,organic,1,1.7,12.5,1.25,0.9,1.2,10.8,52.9875,4.06944,57.05694,0.002356064109,2.356064109
6B,mineral,1,2.5,12.5,1.25,0.9,1.2,10,49.0625,4.06944,53.13194,0.002193988266,2.193988266
10,plant,1,5,12.5,1.25,0.9,1.2,7.5,36.796875,4.06944,40.866315,0.001687501258,1.687501258
10,organic,1,3,12.5,1.25,0.9,1.2,9.5,46.609375,4.06944,50.678815,0.002092690865,2.092690865
13,plant,1,3.5,12.5,1.25,0.9,1.2,9,44.15625,4.06944,48.22569,0.001991393463,1.991393463
13,organic,1,1.4,12.5,1.25,0.9,1.2,11.1,54.459375,4.06944,58.528815,0.00241684255,2.41684255
13,mineral,1,1.4,12.5,1.25,0.9,1.2,11.1,54.459375,4.06944,58.528815,0.00241684255,2.41684255
15,plant,1,6,12.5,1.25,0.9,1.2,6.5,31.890625,4.06944,35.960065,0.001484906455,1.484906455
15,organic,1,4,12.5,1.25,0.9,1.2,8.5,41.703125,4.06944,45.772565,0.001890096061,1.890096061
3A,plant,2,2.9,12.5,1.25,0.9,1.2,9.6,47.1,4.06944,51.16944,0.002112950345,2.112950345
3A ,organic,2,1,12.5,1.25,0.9,1.2,11.5,56.421875,4.06944,60.491315,0.002497880471,2.497880471
3A,mineral,2,1,12.5,1.25,0.9,1.2,11.5,56.421875,4.06944,60.491315,0.002497880471,2.497880471
7B,plant,2,6.2,12.5,1.25,0.9,1.2,6.3,30.909375,4.06944,34.978815,0.001444387494,1.444387494
7B,organic top,2,7,12.5,1.25,0.9,1.2,5.5,26.984375,4.06944,31.053815,0.001282311652,1.282311652
7B,organic bottom ,2,3.5,12.5,1.25,0.9,1.2,9,44.15625,4.06944,48.22569,0.001991393463,1.991393463
8A,plant,2,3,12.5,1.25,0.9,1.2,9.5,46.609375,4.06944,50.678815,0.002092690865,2.092690865
8A,organic,2,1.3,12.5,1.25,0.9,1.2,11.2,54.95,4.06944,59.01944,0.00243710203,2.43710203
8A,mineral,2,1,12.5,1.25,0.9,1.2,11.5,56.421875,4.06944,60.491315,0.002497880471,2.497880471
9,plant,2,5.8,12.5,1.25,0.9,1.2,6.7,32.871875,4.06944,36.941315,0.001525425416,1.525425416
9,organic,2,4.1,12.5,1.25,0.9,1.2,8.4,41.2125,4.06944,45.28194,0.001869836581,1.869836581
9,mineral,2,2,12.5,1.25,0.9,1.2,10.5,51.515625,4.06944,55.585065,0.002295285668,2.295285668
14A,plant,2,4.5,12.5,1.25,0.9,1.2,8,39.25,4.06944,43.31944,0.00178879866,1.78879866
14A,organic,2,4,12.5,1.25,0.9,1.2,8.5,41.703125,4.06944,45.772565,0.001890096061,1.890096061
16,plant,2,3,12.5,1.25,0.9,1.2,9.5,46.609375,4.06944,50.678815,0.002092690865,2.092690865
16,organic,2,2.5,12.5,1.25,0.9,1.2,10,49.0625,4.06944,53.13194,0.002193988266,2.193988266
16,mineral,2,2.5,12.5,1.25,0.9,1.2,10,49.0625,4.06944,53.13194,0.002193988266,2.193988266
